year,title,rating,rank
2011,The Rum Diary,6.2,871
2006,John Tucker Must Die,5.5,872
2007,American Gangster,7.8,873
1995,Casino,8.2,874
2014,Mad Max: Fury Road,875
2014,Muppets Most Wanted,876
1985,Weird Science,6.4,877
2001,Artificial Intelligence: AI,7,879
2005,Memoirs of a Geisha,7.1,880
2000,The Patriot,6.9,882
1984,Die unendliche Geschichte,7.3,883
1990,Total Recall,7.5,884
2011,The Tree of Life,6.8,885
1987,Dirty Dancing,6.6,886
1971,Fiddler on the Roof,7.8,887
2003,Peter Pan,6.8,888
2004,Blade: Trinity,5.8,889
2013,Man of Tai Chi,6.2,890
2011,The Smurfs,5.3,891
2006,The Illusionist,7.6,892
1994,The Mask,6.7,893
2013,Only Lovers Left Alive,7,894
2012,The Reluctant Fundamentalist,6.6,895
2012,Aftershock,4.7,896
2011,The Artist,8,897
2009,Jennifer's Body,5.1,898
2001,Training Day,7.6,899
2012,Deadfall,6.2,900
1971,Willy Wonka & the Chocolate Factory,7.8,901
2003,Cold Mountain,7.2,902
2013,Assault on Wall Street,6,903
1991,The Addams Family,6.7,904
2009,Angels & Demons,6.6,905
2011,Water for Elephants,6.9,907
2011,The Grey,6.8,908
2016,Avatar 2,909
2011,Beastly,5.3,910
2006,Alpha Dog,6.8,911
2011,The Good Doctor,5.4,912
1992,Unforgiven,8.3,913
2010,True Grit,7.7,914
1978,Halloween,7.9,915
1999,Varsity Blues,6.2,916
2013,Pawn Shop Chronicles,5.5,917
1998,Armageddon,6.4,918
2009,Hachi: A Dog's Tale,8.1,919
1995,GoldenEye,7.1,921
2002,Star Wars: Episode II - Attack of the Clones,6.7,922
2011,What's Your Number?,5.8,923
1989,Christmas Vacation,7.3,924
2008,Hancock,6.4,925
2011,Killer Elite,6.4,927
2004,Spider-Man 2,7.4,928
2005,Kingdom of Heaven,7.1,930
1991,My Girl,6.5,931
2005,Jarhead,7,933
2002,Equilibrium,7.5,934
2013,Los amantes pasajeros,5.6,935
1999,Notting Hill,6.9,936
2013,Fruitvale Station,7.7,937
2003,The Matrix Reloaded,7.1,938
2008,Role Models,6.9,939
2000,Cast Away,7.6,940
1980,Airplane!,7.8,941
2001,Shrek,7.9,942
1988,Rain Man,8,943
2012,Arbitrage,6.7,944
1995,Twelve Monkeys,8.1,945
2012,Chasing Mavericks,6.8,946
2006,Step Up,6.2,947
2007,Mr. Magorium's Wonder Emporium,6.1,948
2001,Mulholland Dr.,7.9,950
2013,Rapture-Palooza,5.1,951
1968,C'era una volta il West,8.7,953
1987,The Untouchables,8,954
1958,Vertigo,8.5,955
2004,Hauru no ugoku shiro,8.1,956
2011,Rise of the Planet of the Apes,7.6,957
2012,Silent Hill: Revelation 3D,5,959
2004,The Village,6.4,960
2006,Apocalypto,7.7,961
2006,Click,6.4,962
1964,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.5,963
2010,The Way Back,7.3,964
1998,There's Something About Mary,7.1,965
2005,Fantastic Four,5.7,966
2009,The Joneses,6.4,967
2012,The Imposter,7.5,968
2010,Remember Me,7,969
1978,Superman,7.3,970
2008,Revolutionary Road,7.3,971
2001,Jurassic Park III,5.8,972
2008,Yip Man,8,973
2009,Gamer,5.7,974
1986,Platoon,8.2,975
2012,To Rome with Love,6.3,976
2009,The Twilight Saga: New Moon,4.5,977
2006,Silent Hill,6.5,978
2002,The Bourne Identity,7.9,979
2012,The Collection,6,980
2004,Hellboy,6.8,981
2002,Sweet Home Alabama,5.9,982
2011,My Week with Marilyn,7,983
2012,Best Man Down,6.7,984
2012,Would You Rather,5.8,985
2012,The Raven,6.3,986
2004,The Aviator,7.5,987
2009,The Imaginarium of Doctor Parnassus,6.8,988
2005,The Longest Yard,6.2,989
2009,Pandorum,6.7,990
2005,Constantine,6.8,991
2009,2012,5.7,992
2008,Seven Pounds,7.5,993
2009,Man som hatar kvinnor,7.8,994
2008,"Definitely, Maybe",7.1,995
2011,Like Crazy,6.6,996
2007,Death Proof,7.1,997
2004,The Bourne Supremacy,7.7,998
2005,Madagascar,6.8,999
2012,Beasts of the Southern Wild,7.3,1000
2006,Rocky Balboa,7.2,1001
2012,Alex Cross,4.9,1002
2014,Transcendence,1003
2005,The New World,6.7,1004
2003,The Last Samurai,7.7,1005
1980,The Elephant Man,8.3,1006
2012,People Like Us,7,1007
1964,Mary Poppins,7.6,1008
2005,King Kong,7.3,1009
2000,Gone in Sixty Seconds,6.3,1010
2014,Tomorrowland,1011
2004,Before Sunset,8,1012
2004,Friday Night Lights,7.1,1013
2011,J. Edgar,6.6,1014
2008,The Boy in the Striped Pyjamas,7.7,1015
2002,Signs,6.7,1017
2000,Road Trip,6.4,1018
2005,Hitch,6.6,1019
2009,Brothers,7.1,1020
2013,Magic Magic,5.2,1021
2010,Robin Hood,6.7,1022
2009,The Princess and the Frog,7.1,1023
2010,The A-Team,6.8,1024
2006,Perfume: The Story of a Murderer,7.5,1025
2012,Kon-Tiki,7.2,1026
2006,Superman Returns,6.2,1027
2006,Blood Diamond,8,1028
2002,The Time Machine,5.8,1029
2000,Dracula 2000,4.7,1031
1996,Scream,7.2,1032
2003,Daredevil,5.3,1033
2000,Scary Movie,6.1,1034
1994,Angels in the Outfield,5.7,1035
1987,Can't Buy Me Love,6.4,1038
2013,Grand Masti,4.4,1039
2005,The Amityville Horror,5.8,1041
1954,Rear Window,8.6,1042
2001,Scary Movie 2,5,1043
2012,Promised Land,6.5,1044
2010,The Twilight Saga: Eclipse,4.8,1045
1993,The Sandlot,7.5,1046
2009,Coraline,7.6,1047
2001,Not Another Teen Movie,5.5,1048
2007,August Rush,7.4,1050
2012,The Woman in Black,6.4,1051
1992,Batman Returns,6.9,1052
2011,Serbuan maut,7.5,1053
2002,Panic Room,6.8,1054
1996,The Rock,7.3,1055
1984,Amadeus,8.3,1056
1985,St. Elmo's Fire,6.1,1057
2004,Dodgeball: A True Underdog Story,6.6,1058
2012,Celeste & Jesse Forever,6.5,1059
2005,The Exorcism of Emily Rose,6.6,1060
2012,Underworld: Awakening,6.3,1061
2013,The Lifeguard,5.5,1062
1975,Monty Python and the Holy Grail,8.3,1063
2005,Match Point,7.7,1064
2008,The Other Boleyn Girl,6.6,1065
2002,Van Wilder,6.2,1066
1997,Mononoke-hime,8.4,1067
2011,Cars 2,6.3,1068
2012,So Undercover,4.5,1069
2003,2 Fast 2 Furious,5.4,1070
2010,The Kids Are All Right,7.1,1071
2003,The Dreamers,7.1,1072
2011,Jane Eyre,7.3,1073
2011,Apollo 18,5.2,1074
1999,"Girl, Interrupted",7.2,1075
2011,Haywire,5.9,1076
1963,The Birds,7.8,1077
1997,Austin Powers: International Man of Mystery,7,1078
2012,Playing for Keeps,5.5,1079
1987,Empire of the Sun,7.7,1080
2011,La piel que habito,7.6,1081
2011,Red Riding Hood,5.2,1082
2013,As I Lay Dying,6,1083
2012,Jewtopia,4.1,1084
2013,Short Term 12,7.9,1085
2012,ParaNorman,6.9,1086
2013,The Zero Theorem,6.4,1087
1989,Uncle Buck,6.8,1088
2009,The Human Centipede (First Sequence),4.5,1089
2007,30 Days of Night,6.5,1090
2012,The Guilt Trip,5.7,1091
2006,The Da Vinci Code,6.4,1092
2012,The Odd Life of Timothy Green,6.4,1094
2000,Coyote Ugly,5.4,1095
2011,The Muppets,7.2,1096
2004,"I, Robot",7,1097
2004,Closer,7.3,1099
1954,Shichinin no samurai,8.8,1100
1978,The Deer Hunter,8.2,1101
2006,Talladega Nights: The Ballad of Ricky Bobby,6.4,1102
2011,Margin Call,7.1,1103
2003,Hulk,5.7,1104
2005,The Devil's Rejects,6.8,1105
1994,Natural Born Killers,7.1,1106
2012,No One Lives,5.8,1108
2010,Unstoppable,6.7,1109
2007,The Heartbreak Kid,5.7,1110
2012,The Three Stooges,5,1111
1992,The Last of the Mohicans,7.7,1112
1997,The Game,7.7,1113
2010,Shrek Forever After,6.4,1114
2005,House of Wax,5.2,1115
2011,Johnny English Reborn,6.1,1116
2007,Gone Baby Gone,7.7,1117
2010,A Nightmare on Elm Street,5.1,1119
2009,17 Again,6.3,1120
1994,Interview with the Vampire: The Vampire Chronicles,7.5,1121
2010,Dear John,6,1122
2008,You Don't Mess with the Zohan,5.5,1123
2009,Adventureland,6.8,1124
2011,The Lincoln Lawyer,7.3,1125
2010,Tucker and Dale vs Evil,7.5,1126
2010,You Again,5.6,1127
2011,Rango,7.3,1128
2010,Get Him to the Greek,6.4,1129
2000,How the Grinch Stole Christmas,5.8,1130
2003,Holes,6.9,1131
2007,Paranormal Activity,6.3,1132
2012,Act of Valor,6.3,1134
2002,Minority Report,7.6,1135
2008,Transporter 3,5.9,1136
2013,The Railway Man,6.4,1137
2012,Fire with Fire,5.6,1138
2004,Alexander,5.4,1139
2007,Lars and the Real Girl,7.3,1140
2008,The Happening,5.1,1141
2009,Ghosts of Girlfriends Past,5.6,1142
1996,Jerry Maguire,7.2,1143
2012,De rouille et d'os,7.5,1144
2011,Extremely Loud & Incredibly Close,6.8,1145
2010,Predators,6.4,1146
2003,Identity,7.2,1147
2007,St. Trinian's,5.5,1148
2008,Rambo,7,1149
2010,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.3,1150
1985,Pale Rider,7.2,1151
1999,Big Daddy,6.2,1152
1980,The Blues Brothers,7.9,1153
2012,Chernobyl Diaries,5,1154
2012,Wadjda,7.8,1155
2010,Shelter,6,1156
2004,13 Going on 30,6,1157
2002,About a Boy,7.1,1158
2006,Happy Feet,6.5,1159
1990,Misery,7.8,1160
2009,Antichrist,6.5,1161
2011,Ghost Rider: Spirit of Vengeance,4.3,1162
2014,Jupiter Ascending,1163
1998,Blade,7,1164
1973,American Graffiti,7.5,1165
2005,Kiss Kiss Bang Bang,7.6,1166
2003,Tears of the Sun,6.5,1167
2006,The Hills Have Eyes,6.4,1168
2008,Wild Child,5.8,1169
2010,Legion,5,1170
1996,Twister,6.1,1171
1989,Indiana Jones and the Last Crusade,8.3,1172
2004,Seed of Chucky,4.9,1173
2012,Red Lights,6.1,1174
2004,A Cinderella Story,5.6,1175
1987,The Lost Boys,7.1,1176
2010,Dinner for Schmucks,5.8,1178
2013,La grande bellezza,7.5,1179
2004,Collateral,7.6,1180
2013,A Belfast Story,6.5,1181
1982,Annie,6.1,1184
2012,Safe,6.5,1185
2010,Flipped,7.5,1186
2012,The Brass Teapot,6.2,1187
2002,The Transporter,6.7,1188
2004,Kill Bill: Vol. 2,8,1189
2006,The Holiday,6.8,1190
2010,Hereafter,6.5,1191
2011,Goon,6.8,1192
2004,Garden State,7.6,1193
2003,Terminator 3: Rise of the Machines,6.4,1194
2013,Pawn,5.6,1195
2005,The Hitchhiker's Guide to the Galaxy,6.6,1196
2003,Elf,6.7,1197
2008,Death Race,6.3,1198
2010,Life as We Know It,6.3,1199
1946,It's a Wonderful Life,8.7,1200
2010,Skyline,4.4,1201
2013,Odd Thomas,6.5,1202
1998,Bride of Chucky,5.2,1203
1995,Friday,7.1,1204
1995,Apollo 13,7.5,1205
1997,Event Horizon,6.6,1206
1992,The Mighty Ducks,6.1,1207
2003,The Matrix Revolutions,6.6,1208
2008,Body of Lies,7.1,1209
2010,StreetDance 3D,5.6,1210
2004,National Treasure,6.8,1211
2011,Hick,5.4,1212
1988,Willow,7.1,1213
1998,Meet Joe Black,6.9,1214
1959,North by Northwest,8.5,1215
2009,Solomon Kane,6,1216
2010,It's Kind of a Funny Story,7,1218
2008,Changeling,7.8,1219
1996,From Dusk Till Dawn,7.2,1220
2012,Black Rock,4.6,1221
2009,Daybreakers,6.4,1222
2008,Mamma Mia!,6.3,1223
2002,Die Another Day,6,1224
2005,Brick,7.4,1225
2007,Dead Silence,6,1226
2011,Cowboys & Aliens,6.1,1227
1990,The Godfather: Part III,7.6,1228
2007,Grindhouse,7.7,1229
1998,A Bug's Life,7.2,1230
2013,Temptation: Confessions of a Marriage Counselor,4.1,1231
2013,Escape from Planet Earth,5.6,1232
2008,"10,000 BC",4.9,1233
1974,Blazing Saddles,7.7,1234
2006,Deja Vu,7,1235
1997,Gattaca,7.8,1236
2007,Sunshine,7.2,1237
1995,Mortal Kombat,5.6,1238
2001,Lara Croft: Tomb Raider,5.6,1239
2006,The History Boys,6.6,1240
2000,Unbreakable,7.2,1241
2011,The Adventures of Tintin,7.3,1242
1996,The Crucible,6.8,1243
1999,Magnolia,8,1244
2014,Rio 2,1245
2007,Hot Rod,6.5,1246
1997,The Devil's Advocate,7.4,1247
2001,I Am Sam,7.4,1250
2007,Halloween,6,1251
2013,Prince Avalanche,6.5,1252
2009,"I Love You, Man",7,1253
2002,Ice Age,7.5,1254
2008,21,6.7,1255
2007,Premonition,5.7,1256
1968,Rosemary's Baby,8,1257
2012,Hit and Run,6,1258
1995,Pocahontas,6.3,1259
2007,1408,6.7,1260
2007,3:10 to Yuma,7.7,1262
1999,The World Is Not Enough,6.3,1263
1972,Deliverance,7.8,1264
2011,Machine Gun Preacher,6.7,1265
2011,Soul Surfer,6.8,1266
2010,Locked In,5.8,1267
1993,Groundhog Day,8.1,1268
2001,The Mummy Returns,6.2,1269
2005,Sky High,6.2,1270
2002,Chicago,7.1,1272
1992,Home Alone 2: Lost in New York,6.2,1273
2013,Serena,1274
2002,Red Dragon,7.2,1275
1998,The Man in the Iron Mask,6.3,1276
2008,Bronson,7,1277
2007,Live Free or Die Hard,7.3,1278
2010,Date Night,6.3,1279
2012,Seeking a Friend for the End of the World,6.6,1280
1995,Waterworld,5.9,1281
2010,Hot Tub Time Machine,6.4,1282
2010,The Switch,5.9,1283
2003,Wrong Turn,6,1284
2013,The Best Man Holiday,1285
2012,Paranormal Activity 4,4.4,1286
1983,Krull,5.8,1288
2001,Swordfish,6.4,1289
2003,Bad Boys II,6.3,1290
2012,Amour,7.8,1291
2001,Ghost World,7.4,1292
1985,Clue,7.2,1293
1997,Donnie Brasco,7.7,1294
2017,Justice League,1295
2000,"O Brother, Where Art Thou?",7.8,1296
2011,Sleeping Beauty,5.3,1298
2007,The Man from Earth,7.9,1299
2002,Resident Evil,6.6,1300
2013,The Haunting in Connecticut 2: Ghosts of Georgia,4.9,1301
2010,The Karate Kid,6.2,1302
2006,Marie Antoinette,6.3,1303
2002,Blade II,6.6,1304
1994,Ace Ventura: Pet Detective,6.8,1305
1983,Risky Business,6.7,1306
2011,Take This Waltz,6.5,1307
1997,Face/Off,7.3,1309
2011,The Best Exotic Marigold Hotel,7.2,1310
1960,Spartacus,8,1311
2001,Vanilla Sky,6.8,1312
2011,Blitz,6.1,1314
2004,Catwoman,3.2,1315
1983,WarGames,7,1316
2011,The Sitter,5.6,1317
1991,Robin Hood: Prince of Thieves,6.8,1320
2011,Battle Los Angeles,5.8,1321
2004,Layer Cake,7.3,1322
2014,Annie,1323
2012,Girl Most Likely,5.9,1324
2009,Precious,7.3,1325
2012,Room 237,6.4,1326
1992,A Few Good Men,7.6,1327
2007,Planet Terror,7.2,1328
2011,The Human Centipede II (Full Sequence),4,1329
1966,Torn Curtain,6.6,1330
1998,The Faculty,6.3,1331
2001,Le fabuleux destin d'Amelie Poulain,8.5,1332
2010,The Next Three Days,7.3,1333
2001,The Others,7.6,1334
2009,Cirque du Freak: The Vampire's Assistant,5.9,1335
2012,Gone,5.7,1336
2008,Yes Man,6.8,1337
2013,L'ecume des jours,6.4,1338
1977,Saturday Night Fever,6.7,1339
2008,27 Dresses,6,1340
2009,Fired Up!,6,1341
2013,Ain't Them Bodies Saints,6.9,1342
2009,The Time Traveler's Wife,7,1343
2008,The Wrestler,8,1344
2001,Atlantis: The Lost Empire,6.5,1345
2012,Maniac,6.1,1346
1984,Police Academy,6.5,1347
1984,Dune,6.5,1348
1991,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,5.7,1349
1995,The Basketball Diaries,7.1,1350
2006,Stranger Than Fiction,7.6,1351
2014,Resident Evil 6,1352
1984,Red Dawn,6.1,1353
2010,The Tourist,5.9,1354
2002,Austin Powers in Goldmember,6.1,1355
2013,Yip Man: Jung gik yat jin,5.6,1356
1999,She's All That,5.6,1357
2010,All Good Things,6.2,1360
2011,A Dangerous Method,6.4,1361
2011,Hodejegerne,7.5,1362
1981,For Your Eyes Only,6.8,1363
2003,Master and Commander: The Far Side of the World,7.4,1364
2010,Step Up 3D,5.8,1365
1999,Any Given Sunday,6.7,1366
1998,The Thin Red Line,7.6,1367
2006,Idiocracy,6.4,1368
2013,The Art of the Steal,7.8,1369
2008,Burn After Reading,7,1370
2006,We Are Marshall,7,1371
1981,Das Boot,8.4,1372
2012,Journey 2: The Mysterious Island,5.7,1373
2007,Hannibal Rising,6,1374
2011,The Darkest Hour,4.8,1375
1999,Toy Story 2,7.9,1376
2007,Hitman,6.2,1377
1999,The Blair Witch Project,6.3,1378
1988,Coming to America,6.8,1379
2010,Saw 3D,5.5,1380
2001,Bridget Jones's Diary,6.7,1381
1967,The Jungle Book,7.6,1382
2005,The Descent,7.2,1383
1996,Primal Fear,7.6,1384
2004,Along Came Polly,5.8,1385
1993,Philadelphia,7.6,1386
2013,Cold Comes the Night,7.4,1387
1993,Carlito's Way,7.8,1388
2007,The Number 23,6.2,1389
1968,Hang 'Em High,6.9,1390
1993,Mrs. Doubtfire,6.7,1392
2009,A Perfect Getaway,6.4,1393
2001,The Princess Diaries,5.9,1394
2006,Zoom,3.9,1395
2013,Blood Ties,5.4,1396
2011,Butter,6.1,1397
1990,Ghost,6.9,1399
2005,Into the Blue,5.7,1400
1984,Gremlins,7.2,1401
2001,Super Troopers,6.8,1403
1994,The Crow,7.5,1404
1999,The Iron Giant,7.8,1405
1985,Legend,6.2,1406
2009,Nine,5.7,1407
2009,Mary and Max,8.1,1408
2011,30 Minutes or Less,6.1,1409
1998,Can't Hardly Wait,6.3,1410
2001,Spy Kids,5.4,1411
2005,Lord of War,7.6,1412
2009,Underworld: Rise of the Lycans,6.4,1413
1998,Dark City,7.7,1414
2011,Friends with Kids,6.1,1415
2004,Shark Tale,5.9,1416
1960,The Time Machine,7.5,1417
2010,When in Rome,5.2,1419
2001,Planet of the Apes,5.6,1420
2006,Accepted,6.3,1421
1983,Flashdance,5.8,1423
2011,Justin Bieber: Never Say Never,1.7,1424
2013,Evidence,4.7,1425
2007,The Babysitters,5.7,1426
2008,Step Up 2: The Streets,5.8,1427
2013,The Numbers Station,5.4,1428
2003,Cheaper by the Dozen,5.6,1429
2011,Take Me Home Tonight,6.2,1430
1998,The Prince of Egypt,6.8,1431
2012,The Bay,5.5,1432
2006,Lucky Number Slevin,7.7,1433
2003,The Texas Chainsaw Massacre,6.1,1434
2001,Legally Blonde,6.1,1435
2011,Tower Heist,6.2,1436
1991,Star Trek VI: The Undiscovered Country,7.1,1437
2005,Hostel,5.8,1438
1985,Mask,7,1440
2011,The Eagle,6.1,1441
2006,Eragon,5,1442
2009,The Uninvited,6.2,1443
2010,Eat Pray Love,5.4,1444
1962,Lawrence of Arabia,8.4,1445
2003,Scary Movie 3,5.3,1447
2011,The Thing,6.2,1448
2010,Super,6.7,1449
2006,The Fall,7.8,1450
2012,Cosmopolis,5.1,1452
2012,Iron Sky,6,1453
2005,Coach Carter,7,1454
2005,Corpse Bride,7.3,1455
2014,The Familymoon,1456
1974,Young Frankenstein,8,1457
1997,Alien: Resurrection,6.2,1458
2006,Take the Lead,6.4,1459
2012,Frances Ha,7.6,1460
2013,Locke,6.9,1461
2012,Frankenweenie,6.9,1462
2013,Salinger,5.1,1463
2012,Red Tails,5.8,1464
1995,Casper,5.8,1465
1988,Tonari no Totoro,8.2,1466
2010,Megamind,7.2,1468
2007,The Golden Compass,6.1,1470
2008,Lat den ratte komma in,8,1471
2009,Drag Me to Hell,6.7,1472
2005,A History of Violence,7.5,1473
1982,Conan the Barbarian,6.8,1474
2013,Phantom,5.7,1475
2000,Bring It On,5.8,1477
2008,Hellboy II: The Golden Army,7.1,1478
2007,Epic Movie,2.2,1479
2010,Catfish,7,1480
2002,xXx,5.7,1481
1998,Rush Hour,6.8,1482
2011,The Green Hornet,5.9,1483
2013,Drift,5.7,1484
2009,Invictus,7.3,1485
2013,Lizzie,2.7,1486
1982,Gandhi,8.1,1487
2012,Shadow Dancer,6.2,1488
2006,Smokin' Aces,6.6,1489
2004,Meet the Fockers,6.3,1490
2001,Hard Ball,6.1,1491
2011,Anonymous,6.7,1492
2000,Traffic,7.6,1493
2013,The F Word,6.9,1494
2006,Babel,7.5,1495
2005,Lords of Dogtown,6.9,1496
2011,Another Earth,6.9,1497
2002,Men in Black II,5.9,1498
1990,Back to the Future Part III,7.3,1499
1999,Deep Blue Sea,5.7,1500
1980,Raging Bull,8.3,1501
2004,Ella Enchanted,6.2,1502
1983,Valley Girl,6,1503
1962,Lolita,7.7,1504
1998,Pi,7.4,1505
1999,Being John Malkovich,7.8,1506
2000,Bedazzled,5.8,1507
2002,Cabin Fever,5.5,1508
1994,Maverick,6.9,1509
2004,Scooby-Doo 2: Monsters Unleashed,4.7,1510
2009,Push,6,1511
2007,Fracture,7.1,1512
2013,The Green Inferno,6.2,1513
1992,Toys,4.8,1514
1998,You've Got Mail,6.3,1515
1997,My Best Friend's Wedding,6.2,1516
2011,Kung Fu Panda 2,7.3,1517
2013,Hell Baby,4.8,1518
1950,Cinderella,7.3,1519
2003,Bruce Almighty,6.6,1520
1991,Point Break,7,1521
2004,Ray,7.7,1522
1995,Desperado,7.1,1523
2006,Night at the Museum,6.3,1524
2004,The Grudge,5.7,1525
2003,Freaky Friday,6.1,1526
2006,Crank,6.9,1527
1934,It Happened One Night,8.2,1528
2007,Disturbia,6.8,1529
2014,Winter's Tale,1533
1982,First Blood,7.6,1534
2009,Dorian Gray,6.2,1535
2006,Das Leben der Anderen,8.5,1536
2013,Home Run,5.6,1538
2001,Wet Hot American Summer,6.5,1539
1968,Chitty Chitty Bang Bang,6.6,1540
2004,The Princess Diaries 2: Royal Engagement,5.3,1541
2007,Across the Universe,7.3,1542
1992,Scent of a Woman,7.8,1543
2009,Funny People,6.4,1544
2008,Indiana Jones and the Kingdom of the Crystal Skull,6.3,1545
1990,The Hunt for Red October,7.6,1546
2011,Final Destination 5,5.8,1548
1985,Rocky IV,6.4,1549
2008,Drillbit Taylor,5.6,1550
1974,Chinatown,8.3,1551
2006,Scary Movie 4,5,1552
2004,Finding Neverland,7.7,1553
2012,Stories We Tell,7.7,1554
1992,A River Runs Through It,7.1,1555
2006,Turistas,5.1,1556
2009,9,7,1558
2008,Bedtime Stories,6,1559
2012,Compliance,6.4,1560
2013,The Necessary Death of Charlie Countryman,5.4,1561
2007,Dan in Real Life,6.7,1562
2007,Funny Games U.S.,6.4,1563
2007,Hostel: Part II,5.3,1564
2011,Spy Kids: All the Time in the World in 4D,3.5,1565
2000,Batoru rowaiaru,7.7,1566
1984,Indiana Jones and the Temple of Doom,7.6,1567
2011,The Double,5.8,1568
2004,Hotel Rwanda,8.2,1569
2008,Get Smart,6.5,1570
1996,Mission: Impossible,7,1572
1997,Anastasia,6.8,1573
1998,Enemy of the State,7.2,1574
2010,Habitacion en Roma,6,1575
2008,Defiance,7.1,1576
2013,Upstream Color,6.7,1577
1998,Pleasantville,7.4,1578
2013,Horns,7.2,1579
2012,Piranha 3DD,3.9,1580
1987,Spaceballs,7,1581
1994,Speed,7.2,1582
2005,Four Brothers,6.8,1583
1999,Never Been Kissed,5.8,1584
1993,Last Action Hero,6,1585
1995,Bad Boys,6.7,1586
2009,The Boat That Rocked,7.3,1587
2009,Splice,5.8,1588
2013,Dragon Ball Z: Battle of Gods,7.8,1589
1969,Topaz,6.2,1590
1927,Metropolis,8.4,1591
2007,[Rec],7.5,1592
2010,Hesher,7,1593
1986,Highlander,7.1,1594
1953,Peter Pan,7.3,1595
2003,Once Upon a Time in Mexico,6.3,1596
2012,Searching for Sugar Man,8.1,1597
2003,How to Lose a Guy in 10 Days,6.2,1598
2004,Spanglish,6.4,1599
1965,Per qualche dollaro in piu,8.3,1600
1999,Austin Powers: The Spy Who Shagged Me,6.6,1601
2010,Stake Land,6.5,1602
2012,Robot & Frank,7,1603
1995,Die Hard: With a Vengeance,7.5,1604
2004,Mysterious Skin,7.7,1605
1998,Shakespeare in Love,7.2,1606
2005,The Sisterhood of the Traveling Pants,6.5,1607
2005,Transporter 2,6.2,1608
2010,Akmareul boatda,7.7,1609
2013,Life of Crime,7.6,1610
2004,Saved!,6.8,1611
2009,Hannah Montana: The Movie,3.8,1612
2007,The Last Legion,5.4,1613
2013,Paranormal Asylum: The Revenge of Typhoid Mary,2.5,1614
1998,Practical Magic,5.8,1615
2013,The Blackout,3.2,1616
2003,House of 1000 Corpses,5.8,1617
2011,Carnage,7.1,1618
2005,Munich,7.6,1619
1950,Sunset Blvd.,8.6,1620
2012,The Apparition,4,1621
1987,Wall Street,7.3,1622
2002,Road to Perdition,7.7,1623
1990,Dances with Wolves,8,1624
2012,Liberal Arts,6.6,1625
2011,The Art of Getting By,6.4,1626
2001,The Royal Tenenbaums,7.5,1627
2008,The Eye,5.2,1628
2005,Cinderella Man,7.9,1629
2014,Left Behind,1630
2001,Thir13en Ghosts,5.3,1631
1977,Annie Hall,8.2,1632
2006,Gridiron Gang,6.7,1633
2007,Freedom Writers,7.3,1634
2014,The Hobbit: There and Back Again,1635
2011,Martha Marcy May Marlene,6.9,1636
1986,Blue Velvet,7.8,1637
2012,Get the Gringo,7,1638
2003,Freddy vs. Jason,5.7,1639
2008,Doomsday,5.9,1640
2006,The Break-Up,5.7,1641
2004,Sideways,7.6,1642
2002,The Hours,7.4,1644
2002,Confessions of a Dangerous Mind,7,1645
2003,The Core,5.3,1646
2004,Superbabies: Baby Geniuses 2,1.7,1647
2011,Salmon Fishing in the Yemen,6.8,1648
2012,Arthur Newman,5.5,1649
2007,Le scaphandre et le papillon,8,1650
1996,Star Trek: First Contact,7.5,1651
1991,Boyz n the Hood,7.7,1652
1964,Goldfinger,7.8,1653
2004,Shrek 2,7.2,1655
2013,The Look of Love,5.8,1656
2013,The Ultimate Life,6.1,1657
2011,The Mechanic,6.4,1658
2001,K-PAX,7.2,1659
2002,The Hot Chick,5.3,1661
2008,The Chronicles of Narnia: Prince Caspian,6.6,1662
2005,The Brothers Grimm,5.9,1664
2010,Diary of a Wimpy Kid,6.1,1665
2009,State of Play,7.1,1666
2003,The League of Extraordinary Gentlemen,5.6,1668
2010,The Ward,5.5,1669
2010,The Crazies,6.5,1670
2006,Grandma's Boy,6.8,1671
2012,Hope Springs,6.3,1672
1990,RoboCop 2,5.5,1673
2012,One for the Money,5.1,1674
2000,Erin Brockovich,7.2,1675
2010,Letters to Juliet,6.3,1676
2010,Charlie St. Cloud,6.1,1677
2007,The Kingdom,7,1678
2012,En kongelig affaere,7.5,1679
1980,Friday the 13th,6.4,1680
2007,The Assassination of Jesse James by the Coward Robert Ford,7.5,1681
2008,Marley & Me,6.9,1682
2002,Maid in Manhattan,4.8,1683
2014,Knight of Cups,1684
2010,Beginners,7.1,1685
1998,The Wedding Singer,6.7,1686
2008,The Day the Earth Stood Still,5.4,1687
2014,The Grand Budapest Hotel,1688
2002,John Q,6.8,1689
1992,Wayne's World,6.9,1690
1996,Mars Attacks!,6.3,1691
2010,The Runaways,6.5,1692
2007,Good Luck Chuck,5.5,1693
2011,Straw Dogs,5.7,1694
1998,Lost in Space,4.9,1695
2010,Knight and Day,6.2,1696
2013,Nothing Left to Fear,4.7,1698
2009,The Stepfather,5.4,1699
1992,Army of Darkness,7.5,1700
2008,Nick and Norah's Infinite Playlist,6.7,1701
1992,Alien 3,6.4,1702
2008,Hunger,7.5,1703
1965,Thunderball,7,1704
1989,Pet Sematary,6.4,1705
2010,Wall Street: Money Never Sleeps,6.2,1706
2012,Quartet,6.7,1707
1990,Kindergarten Cop,5.9,1708
2012,Antiviral,5.5,1709
