year,title,rating,rank
2000,Requiem for a Dream,8.4,206
2013,Monsters University,7.6,207
2013,Parkland,5.6,208
2010,She's Out of My League,6.4,209
1999,American Beauty,8.5,210
2013,Homefront,211
2012,Magic Mike,6.1,212
2009,The Hangover,7.8,213
2012,Lawless,7.2,214
2014,Teenage Mutant Ninja Turtles,215
2011,Pirates of the Caribbean: On Stranger Tides,6.6,216
2013,Trance,6.9,217
2013,One Chance,5.2,218
2013,The Colony,5.2,219
2003,Love Actually,7.7,220
2012,Ted,7.1,221
2014,Maleficent,222
2008,Twilight,5.2,223
2014,The Giver,224
2014,Edge of Tomorrow,225
1977,Star Wars,8.7,226
2011,In Time,6.6,227
2005,Batman Begins,8.3,228
2013,42,7.5,229
2013,The Host,5.7,230
2014,Neighbors,231
2007,Into the Wild,8.1,232
2000,Pitch Black,7,233
2013,Hansel & Gretel: Witch Hunters,6.1,234
2012,The Amazing Spider-Man,7.1,235
2005,Sin City,8.2,236
2013,The Way Way Back,7.8,237
1991,The Silence of the Lambs,8.7,238
2003,Pirates of the Caribbean: The Curse of the Black Pearl,8,239
2013,Generation Iron,6.7,240
2011,The Help,8,241
1993,Schindler's List,8.9,242
2011,No Strings Attached,6.1,243
2014,The Maze Runner,244
2013,Stoker,6.9,245
2013,Lone Survivor,246
1990,Goodfellas,8.8,248
2011,Warrior,8.2,249
2009,Couples Retreat,5.4,252
2011,Captain America: The First Avenger,6.8,253
2013,Paranoia,4.8,254
2012,Jagten,8.2,255
1998,The Big Lebowski,8.2,256
2000,Remember the Titans,7.6,257
1987,The Princess Bride,8.1,258
1982,Blade Runner,8.3,259
2013,Austenland,5.8,260
1993,Jurassic Park,8,261
2013,C.O.G.,4.8,262
1995,Se7en,8.7,263
2010,The Town,7.6,264
2013,Gangster Squad,6.7,265
2012,Rock of Ages,5.8,266
2001,Zoolander,6.4,267
2003,Finding Nemo,8.1,268
2009,(500) Days of Summer,7.8,269
1966,"Il buono, il brutto, il cattivo.",9,270
2012,Life of Pi,8.1,272
2013,The Big Wedding,5.3,273
1999,The Matrix,8.7,274
2014,Vampire Academy,275
2010,Iron Man 2,7,276
1994,Forrest Gump,8.7,277
2013,Parker,6.1,278
2004,The Chronicles of Riddick,6.5,279
1994,The Lion King,8.4,280
2012,Jack Reacher,6.9,281
2011,The Girl with the Dragon Tattoo,7.8,282
2009,Avatar,7.9,283
2012,End of Watch,7.6,284
2012,Snow White and the Huntsman,6.1,285
2013,Mama,6.3,286
2012,This Is 40,6.2,287
2007,Superbad,7.6,288
2012,Much Ado About Nothing,7.4,289
2013,Last Vegas,290
2010,Black Swan,8.1,291
2011,Drive Angry,5.5,292
2007,Ratatouille,8,293
2010,Grown Ups,5.8,294
2000,Gladiator,8.5,295
2012,Hotel Transylvania,7,296
2009,The Lovely Bones,6.6,297
2011,Horrible Bosses,6.9,298
2012,The Expendables 2,6.7,299
2009,G.I. Joe: The Rise of Cobra,5.7,300
1989,The Little Mermaid,7.5,301
2013,Before Midnight,8.3,302
2012,The Lords of Salem,5.2,303
2009,Watchmen,7.6,304
1998,Saving Private Ryan,8.6,305
2006,X-Men: The Last Stand,6.8,306
2012,Lincoln,7.5,307
2014,Dawn of the Planet of the Apes,308
1985,Pee-wee's Big Adventure,6.8,309
2011,Something Borrowed,5.7,310
2002,Cidade de Deus,8.7,311
2012,Savages,6.5,312
1999,Sleepy Hollow,7.4,313
